Name,SiteNumber,EventDateTime,MeterNumber,MeterReading,BatteryVoltage,PowerStatus,PSiteName,ReadingDate,ReadingTime
Rietvlei1,0003,2016-01-24 18:01:18.023,      87903954,0000007.095,13.1,ON,Rietvlei1,2016/01/24,18:00:00
Rietvlei1,0003,2016-01-24 17:00:05.520,      87903953,0000003.914,13.2,ON,Rietvlei1,2016/01/24,17:00:00
Rietvlei1,0003,2016-01-24 17:00:04.560,      87903951,0000008.135,13.2,ON,Rietvlei1,2016/01/24,17:00:00
Rietvlei1,0003,2016-01-24 17:00:03.240,      87903952,0000003.643,13.2,ON,Rietvlei1,2016/01/24,17:00:00
Rietvlei1,0003,2016-01-24 17:00:02.183,      87903954,0000006.244,13.2,ON,Rietvlei1,2016/01/24,17:00:00
Rietvlei1,0003,2016-01-24 16:00:05.507,      87903953,0000002.599,12.9,ON,Rietvlei1,2016/01/24,16:00:00
Rietvlei1,0003,2016-01-24 16:00:04.493,      87903951,0000008.135,12.9,ON,Rietvlei1,2016/01/24,16:00:00
Rietvlei1,0003,2016-01-24 16:00:03.403,      87903952,0000003.643,12.9,ON,Rietvlei1,2016/01/24,16:00:00
Rietvlei1,0003,2016-01-24 16:00:02.097,      87903954,0000004.923,12.9,ON,Rietvlei1,2016/01/24,16:00:00
Rietvlei1,0003,2016-01-24 15:00:10.280,      87903953,0000001.898,13.3,ON,Rietvlei1,2016/01/24,15:00:00
Rietvlei1,0003,2016-01-24 15:00:09.327,      87903951,0000008.135,13.3,ON,Rietvlei1,2016/01/24,15:00:00
Rietvlei1,0003,2016-01-24 15:00:06.830,      87903952,0000002.922,13.3,ON,Rietvlei1,2016/01/24,15:00:00
Rietvlei1,0003,2016-01-24 15:00:03.050,      87903954,0000003.491,13.3,ON,Rietvlei1,2016/01/24,15:00:00
Rietvlei1,0003,2016-01-24 14:28:07.517,      87903953,0000001.599,13.2,ON,Rietvlei1,2016/01/24,14:13:00
Rietvlei1,0003,2016-01-24 14:28:06.623,      87903951,0000008.134,13.2,ON,Rietvlei1,2016/01/24,14:13:00
Rietvlei1,0003,2016-01-24 14:28:05.530,      87903952,0000002.521,13.2,ON,Rietvlei1,2016/01/24,14:13:00
